Fecha;CCAA;cod_ine;CasosAcc;IngresadosAcc;UCIAcc;FallecidosAcc;PCRDia;Ingresados;UCI;PorcenCamas;Ingresos24h;Altas24h;PorcenUCI
2020-08-20;Asturias;03;2933;1128;130;334;2129;20;3;0.007;6;2
2020-08-20;Baleares;04;5100;1255;181;227;2617;159;24;0.053;32;13
2020-08-20;Canarias;05;4114;1084;202;166;1909;103;13;0.022;17;2
2020-08-20;Cantabria;06;3240;1124;87;221;1365;31;4;0.02;6;0
2020-08-20;Castilla La Mancha;08;20828;9546;672;3038;1632;122;11;0.027;20;9
2020-08-20;Castilla y León;07;24400;9088;647;2810;3331;197;11;0.039;35;16
2020-08-20;Cataluña;09;97234;30035;3035;5722;11391;978;136;0.043;107;113
2020-08-20;Ceuta;18;202;17;4;4;75;0;0;0;0;0
2020-08-20;Comunidad Valenciana;10;18647;6304;775;1446;5780;347;35;0.032;65;29
2020-08-20;Extremadura;11;4085;1821;143;523;1691;42;6;0.016;9;3
2020-08-20;Galicia;12;11638;3095;349;625;2197;86;7;0.011;16;5
2020-08-20;Madrid;13;99529;43905;3694;8526;7869;1245;126;0.095;226;133
2020-08-20;Melilla;19;217;53;3;2;1;6;0;0.034;0;0
2020-08-20;Murcia;14;3909;853;130;152;1375;68;11;0.032;8;3
2020-08-20;Navarra;15;8454;2170;148;532;1353;52;6;0.035;5;8
2020-08-20;País Vasco;16;23228;7103;583;1566;4692;333;27;0.083;57;46
2020-08-20;La Rioja;17;4790;1507;91;367;695;13;2;0.017;4;0
2020-08-21;Andalucía;01;22825;6868;835;1460;7078;315;37;0.021;63;71
2020-08-21;Aragón;02;23607;3939;338;1096;3243;540;60;0.136;70;54
2020-08-21;Asturias;03;2973;1128;130;334;2568;21;3;0.007;8;1
2020-08-21;Baleares;04;5342;1265;181;228;3224;165;25;0.056;30;21
2020-08-21;Canarias;05;4288;1099;204;167;2312;96;13;0.02;15;6
2020-08-21;Cantabria;06;3240;1124;87;221;1730;35;4;0.022;7;2
2020-08-21;Castilla La Mancha;08;21054;9542;671;3038;2461;130;10;0.029;23;15
2020-08-21;Castilla y León;07;24816;9114;649;2810;4418;210;17;0.04;41;25
2020-08-21;Cataluña;09;98462;30064;3035;5724;15018;911;121;0.042;85;168
2020-08-21;Ceuta;18;208;17;4;4;76;0;0;0;0;0
2020-08-21;Comunidad Valenciana;10;19103;6325;776;1449;7099;339;37;0.03;63;45
2020-08-21;Extremadura;11;4194;1825;144;524;1685;37;7;0.012;6;1
2020-08-21;Galicia;12;11952;3113;349;626;3286;87;7;0.011;23;15
2020-08-21;Madrid;13;102382;44028;3699;8537;10945;1297;137;0.098;217;152
2020-08-21;Melilla;19;217;53;3;2;3;7;0;0.04;1;0
2020-08-21;Murcia;14;4067;872;130;152;1836;109;22;0.036;27;12
2020-08-21;Navarra;15;8547;2178;150;532;1783;56;8;0.032;14;9
2020-08-21;País Vasco;16;23919;7108;583;1567;7154;330;30;0.091;67;61
2020-08-21;La Rioja;17;4858;1513;92;367;867;18;3;0.023;5;0
2020-08-24;Andalucía;01;24650;6926;841;1466;1250;369;42;0.024;62;25
2020-08-24;Aragón;02;24591;3974;338;1096;3510;537;64;0.137;34;26
2020-08-24;Asturias;03;3048;1129;130;335;2030;16;3;0.005;6;2
2020-08-24;Baleares;04;5694;1276;184;228;4217;228;33;0.075;40;10
2020-08-24;Canarias;05;4990;1138;210;167;3284;134;22;0.028;15;1
2020-08-24;Cantabria;06;3518;1143;88;221;1626;37;2;0.024;7;2
2020-08-24;Castilla La Mancha;08;21657;9550;671;3039;2633;177;16;0.04;24;2
2020-08-24;Castilla y León;07;25451;9143;652;2812;5116;248;18;0.047;31;9
2020-08-24;Cataluña;09;102032;30098;3039;5725;16011;1011;151;0.046;86;49
2020-08-24;Ceuta;18;220;18;4;4;67;1;0;0.006;0;0
2020-08-24;Comunidad Valenciana;10;19978;6372;777;1452;8673;403;46;0.037;68;16
2020-08-24;Extremadura;11;4409;1837;145;526;2085;40;6;0.015;4;0
2020-08-24;Galicia;12;12590;3146;354;632;4438;83;10;0.011;16;2
2020-08-24;Madrid;13;108374;44155;3705;8546;16760;1544;165;0.12;192;54
2020-08-24;Melilla;19;261;55;3;2;0;8;0;0.045;1;0
2020-08-24;Murcia;14;4468;893;130;153;2214;157;31;0.052;59;10
2020-08-24;Navarra;15;8911;2190;152;533;1695;54;9;0.033;10;3
2020-08-24;País Vasco;16;25545;7109;583;1567;6119;404;37;0.1;41;13
2020-08-24;La Rioja;17;5049;1521;92;368;869;33;3;0.046;9;0
2020-08-25;Andalucía;01;25176;6984;846;1471;7225;403;43;0.026;70;33
2020-08-25;Aragón;02;24752;3984;338;1096;1414;523;68;0.131;60;57
2020-08-25;Asturias;03;3100;1131;130;335;1582;19;2;0.006;6;2
2020-08-25;Baleares;04;6603;1311;191;229;2996;238;35;0.086;41;20
2020-08-25;Canarias;05;5225;1153;213;168;2743;151;23;0.031;28;13
2020-08-25;Cantabria;06;3569;1148;89;221;1139;40;1;0.026;10;5
2020-08-25;Castilla La Mancha;08;21980;9552;673;3040;2333;187;23;0.043;35;25
2020-08-25;Castilla y León;07;26020;9170;654;2815;3250;257;19;0.051;51;60
2020-08-25;Cataluña;09;102817;30123;3042;5727;7458;1040;155;0.046;115;124
2020-08-25;Ceuta;18;230;18;4;4;40;1;0;0.006;0;0
2020-08-25;Comunidad Valenciana;10;20748;6414;782;1454;6371;386;49;0.036;76;52
2020-08-25;Extremadura;11;4465;1839;145;526;1247;49;5;0.016;7;3
2020-08-25;Galicia;12;12755;3160;355;632;3428;105;12;0.013;30;6
2020-08-25;Madrid;13;110300;44339;3713;8580;11889;1688;175;0.128;285;205
2020-08-25;Melilla;19;272;55;3;2;11;7;1;0.04;1;2
2020-08-25;Murcia;14;4627;913;133;154;2241;107;16;0.05;25;15
2020-08-25;Navarra;15;9003;2195;152;533;1701;52;9;0.03;5;11
2020-08-25;País Vasco;16;25795;7116;583;1568;6531;400;39;0.097;53;63
2020-08-25;La Rioja;17;5116;1524;92;369;843;35;2;0.046;5;3
2020-08-26;Andalucía;01;26017;7033;848;1475;5929;451;52;0.028;97;40
2020-08-26;Aragón;02;25077;3993;338;1096;650;523;66;0.131;54;39
2020-08-26;Asturias;03;3149;1133;130;335;1023;23;2;0.007;8;1
2020-08-26;Baleares;04;6939;1329;198;231;1900;264;37;0.087;40;23
2020-08-26;Canarias;05;5516;1170;217;169;1495;153;27;0.032;34;14
2020-08-26;Cantabria;06;3651;1153;89;221;899;43;0;0.028;12;2
2020-08-26;Castilla La Mancha;08;22342;9559;674;3041;1282;198;24;0.045;34;20
2020-08-26;Castilla y León;07;26478;9210;659;2817;3303;268;24;0.054;53;29
2020-08-26;Cataluña;09;104084;30154;3044;5740;4587;1023;156;0.045;112;112
2020-08-26;Ceuta;18;241;18;4;4;33;1;0;0.006;0;0
2020-08-26;Comunidad Valenciana;10;20748;6414;782;1454;3494;409;47;0.037;76;40
2020-08-26;Extremadura;11;4566;1842;147;526;1022;38;6;0.015;5;2
2020-08-26;Galicia;12;13081;3179;357;633;2773;104;10;0.015;19;8
2020-08-26;Madrid;13;112514;44526;3717;8592;8269;1793;178;0.136;289;196
2020-08-26;Melilla;19;285;56;4;2;2;4;1;0.023;0;0
2020-08-26;Murcia;14;4875;930;134;155;1764;115;17;0.054;25;15
2020-08-26;Navarra;15;9123;2203;154;533;1168;58;10;0.034;14;5
2020-08-26;País Vasco;16;25955;7122;584;1578;4185;401;38;0.101;46;42
2020-08-26;La Rioja;17;5208;1525;92;369;654;34;2;0.044;4;5
2020-08-27;Andalucía;01;26829;7094;855;1476;5573;505;62;0.03;119;47
2020-08-27;Aragón;02;25373;4003;338;1096;3111;513;63;0.13;49;51
2020-08-27;Asturias;03;3185;1135;130;335;2123;23;2;0.01;11;2
2020-08-27;Baleares;04;7465;1350;199;231;2727;258;40;0.09;33;34
2020-08-27;Canarias;05;5851;1188;221;171;2668;164;29;0.03;26;13
2020-08-27;Cantabria;06;3740;1155;89;221;1178;41;1;0.03;11;1
2020-08-27;Castilla La Mancha;08;22686;9563;674;3041;2108;202;28;0.05;29;24
2020-08-27;Castilla y León;07;26973;9247;660;2821;4299;300;26;0.06;49;25
2020-08-27;Cataluña;09;105429;30181;3045;5741;15875;1039;147;0.04;117;108
2020-08-27;Ceuta;18;246;18;4;4;45;1;0;0.01;0;0
2020-08-27;Comunidad Valenciana;10;22004;6520;794;1461;6769;407;51;0.04;73;49
2020-08-27;Extremadura;11;4642;1850;150;526;2484;42;10;0.02;3;4
2020-08-27;Galicia;12;13448;3191;357;634;2757;120;12;0.01;19;5
2020-08-27;Madrid;13;115159;44629;3718;8600;9122;1808;176;0.13;258;201
2020-08-27;Melilla;19;293;56;4;2;2;3;1;0.02;0;1
2020-08-27;Murcia;14;5085;953;137;155;1532;108;17;0.05;8;17
2020-08-27;Navarra;15;9203;2205;154;533;1551;61;9;0.04;11;5
2020-08-27;País Vasco;16;26597;7124;585;1579;5178;402;38;0.1;55;53
